Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Halococcus hamelinensis 100A6		strain: 100A6	1132509	ASM25921v1	GCF_000259215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	18000	3383679	2012-04-18	3720	PRJNA80845	SAMN02470884
Natrinema sp. J7-2		strain: J7-2	406552	ASM28169v1	GCF_000281695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3697626	3793615	2012-07-25	3824	PRJNA89473	SAMN02603638
Halogranum salarium B-1		strain: B-1	1210908	162.HSB1.1	GCF_000283335.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	588306	4492306	2012-08-03	4540	PRJNA170600	SAMN02470186
Halorubrum sp. T3		strain: T3	1194088	ASM29661v1	GCF_000296615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	707005	3168011	2012-09-17	3151	PRJNA170959	SAMN02470121
Haloferax mediterranei ATCC 33500		strain: CGMCC 1.2087	523841	ASM30676v2	GCF_000306765.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2948884	3904707	2014-05-27	3931	PRJNA43185	SAMN02603397
Haloferax sp. BAB-2207		strain: BAB-2207	1296625	Haloferax sp. BAB2207 V.1	GCF_000328285.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	7193	3744707	2012-12-21	4295	PRJNA177651	SAMN02469860
Halovivax ruber XH-70		strain: XH-70	797302	ASM32852v1	GCF_000328525.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3223876	3223876	2012-12-27	3154	PRJNA59897	SAMN02232030
Natronococcus occultus SP4		strain: SP4	694430	ASM32868v1	GCF_000328685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4013216	4314118	2012-12-28	4365	PRJNA46985	SAMN02261263
Halococcus agarilyticus		strain: 197A	1232219	ASM33489v1	GCF_000334895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	147353	3476728	2013-01-29	3501	PRJDB105	SAMD00011631
Haloarcula amylolytica JCM 13557		strain: JCM 13557	1227452	ASM33661v1	GCF_000336615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	242125	4225424	2013-02-04	4320	PRJNA174891	SAMN02471637
Haloarcula japonica DSM 6131		strain: DSM 6131	1227453	ASM33663v1	GCF_000336635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	324922	4280359	2013-02-04	4338	PRJNA174893	SAMN02471638
Halobiforma lacisalsi AJ5		strain: AJ5	358396	ASM33665v1	GCF_000336655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	152980	4338576	2013-02-04	4261	PRJNA174894	SAMN02471659
Halococcus hamelinensis 100A6		strain: 100A6	1132509	ASM33667v1	GCF_000336675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	135803	3419074	2013-02-04	3517	PRJNA174896	SAMN02471661
Halococcus morrhuae DSM 1307		strain: DSM 1307	931277	ASM33669v1	GCF_000336695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	70502	2991556	2013-02-04	3124	PRJNA174897	SAMN02471675
Halococcus thailandensis JCM 13552		strain: JCM 13552	1227457	ASM33671v1	GCF_000336715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	62289	4052434	2013-02-04	4239	PRJNA174900	SAMN02471640
Haloferax alexandrinus JCM 10717		strain: JCM 10717	1227458	ASM33673v1	GCF_000336735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	291695	3649262	2013-02-04	3750	PRJNA174901	SAMN02471657
Haloferax elongans ATCC BAA-1513		strain: ATCC BAA-1513	1230453	ASM33675v1	GCF_000336755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	341465	3952136	2013-02-04	3969	PRJNA174902	SAMN02471641
Haloferax gibbonsii ATCC 33959		strain: ATCC 33959	1227459	ASM33677v1	GCF_000336775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	232176	4057322	2013-02-04	4071	PRJNA174903	SAMN02471685
Haloferax lucentense DSM 14919		strain: DSM 14919	1230452	ASM33679v1	GCF_000336795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	221857	3619064	2013-02-04	3722	PRJNA174905	SAMN02471684
Haloferax prahovense DSM 18310		strain: DSM 18310	1227461	ASM33681v1	GCF_000336815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	256889	3998799	2013-02-04	4050	PRJNA174906	SAMN02471666
Haloferax sp. ATCC BAA-645		strain: ATCC BAA-645	1227463	ASM33683v1	GCF_000336835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	213905	3598205	2013-02-04	3680	PRJNA174908	SAMN02471635
Haloferax sp. ATCC BAA-646		strain: ATCC BAA-646	1227464	ASM33685v1	GCF_000336855.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	151167	3609529	2013-02-04	3690	PRJNA174909	SAMN02471676
Halorubrum californiense DSM 19288		strain: DSM 19288	1227465	ASM33687v1	GCF_000336875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	100676	3682872	2013-02-04	3681	PRJNA174912	SAMN02471648
Haloarcula argentinensis DSM 12282		strain: DSM 12282	1230451	ASM33689v1	GCF_000336895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	354023	4147107	2013-02-04	4224	PRJNA174892	SAMN02471678
Halococcus saccharolyticus DSM 5350		strain: DSM 5350	1227455	ASM33691v1	GCF_000336915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	202192	3449700	2013-02-04	3562	PRJNA174898	SAMN02471639
Halococcus salifodinae DSM 8989		strain: DSM 8989	1227456	ASM33693v1	GCF_000336935.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	105665	4199784	2013-02-04	4186	PRJNA174899	SAMN02471636
Haloferax larsenii JCM 13917		strain: JCM 13917	1227460	ASM33695v1	GCF_000336955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	258651	3697948	2013-02-04	3737	PRJNA174904	SAMN02471655
Haloferax sp. ATCC BAA-644		strain: ATCC BAA-644	1227462	ASM33697v1	GCF_000336975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	192908	3587033	2013-02-04	3651	PRJNA174907	SAMN02471677
Halorubrum aidingense JCM 13560		strain: JCM 13560	1230454	ASM33699v1	GCF_000336995.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	208041	3108525	2013-02-04	3118	PRJNA174910	SAMN02471664
Halorubrum arcis JCM 13916		strain: JCM 13916	1230455	ASM33701v1	GCF_000337015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	85701	3382601	2013-02-04	3455	PRJNA174911	SAMN02471647
Halorubrum coriense DSM 10284		strain: DSM 10284	1227466	ASM33703v1	GCF_000337035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	81344	3645313	2013-02-04	3701	PRJNA174913	SAMN02471634
Halorubrum distributum JCM 9100		strain: JCM 9100	1227467	ASM33705v1	GCF_000337055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	71130	3307369	2013-02-04	3320	PRJNA174914	SAMN02471665
Halorubrum hochstenium ATCC 700873		strain: ATCC 700873	1227481	ASM33707v1	GCF_000337075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	87029	3037532	2013-02-04	3094	PRJNA174916	SAMN02471650
Halogeometricum pallidum JCM 14848		strain: JCM 14848	1227487	ASM33709v1	GCF_000337095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	202678	4384515	2013-02-04	4388	PRJNA174923	SAMN02471630
Natrinema thermotolerans DSM 11552		strain: DSM 11552	1227489	ASM33711v1	GCF_000337115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	162183	3895275	2013-02-04	3974	PRJNA174927	SAMN02471662
Natrialba chahannaoensis JCM 10990		strain: JCM 10990	1227492	ASM33713v1	GCF_000337135.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	129612	4309274	2013-02-04	4166	PRJNA174931	SAMN02471674
Natrinema altunense JCM 12890		strain: JCM 12890	1227494	ASM33715v1	GCF_000337155.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	184807	3774970	2013-02-04	3833	PRJNA174934	SAMN02471672
Natrinema gari JCM 14663		strain: JCM 14663	1230459	ASM33717v1	GCF_000337175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	126340	4023692	2013-02-04	4132	PRJNA174935	SAMN02471627
Natrinema versiforme JCM 10478		strain: JCM 10478	1227496	ASM33719v1	GCF_000337195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	121463	4190799	2013-02-04	4281	PRJNA174938	SAMN02471670
Natronolimnohabitans innermongolicus JCM 12255		strain: JCM 12255	1227499	ASM33721v1	GCF_000337215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	93539	4588634	2013-02-04	4519	PRJNA174942	SAMN02471623
Natronorubrum tibetense GA33		strain: GA33	1114856	ASM33723v1	GCF_000337235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	186271	4926841	2013-02-04	4776	PRJNA174945	SAMN02471668
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM33725v1	GCF_000337255.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	132673	3614122	2013-02-04	3847	PRJNA174946	SAMN02471620
Haloarcula sinaiiensis ATCC 33800		strain: ATCC 33800	662476	ASM33727v1	GCF_000337275.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	203070	4405164	2013-02-04	4513	PRJNA174883	SAMN02471645
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM33729v1	GCF_000337295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	323675	3894540	2013-02-04	3929	PRJNA174886	SAMN02471643
Haloferax volcanii DS2		strain: DS2	309800	ASM33731v1	GCF_000337315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	109813	3866754	2013-02-04	3973	PRJNA174947	SAMN02471619
Halorubrum distributum JCM 10118		strain: JCM 10118	1227468	ASM33733v1	GCF_000337335.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	108217	3306135	2013-02-04	3300	PRJNA174915	SAMN02471649
Halorubrum kocurii JCM 14978		strain: JCM 14978	1230456	ASM33735v1	GCF_000337355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	65834	3619738	2013-02-04	3614	PRJNA174917	SAMN02471633
Halorubrum lipolyticum DSM 21995		strain: DSM 21995	1227482	ASM33737v1	GCF_000337375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	148576	3425042	2013-02-04	3365	PRJNA174918	SAMN02471632
Halorubrum litoreum JCM 13561		strain: JCM 13561	1227483	ASM33739v1	GCF_000337395.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	111876	3137757	2013-02-04	3156	PRJNA174919	SAMN02471646
Halorubrum tebenquichense DSM 14210		strain: DSM 14210	1227485	ASM33741v1	GCF_000337415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	75545	3328860	2013-02-04	3443	PRJNA174921	SAMN02471631
Halorubrum terrestre JCM 10247		strain: JCM 10247	1227486	ASM33743v1	GCF_000337435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	97508	3376225	2013-02-04	3436	PRJNA174922	SAMN02471682
Halosimplex carlsbadense 2-9-1		strain: 2/9/2001	797114	ASM33745v1	GCF_000337455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	193049	4694889	2013-02-04	4633	PRJNA174924	SAMN02471654
Natrinema limicola JCM 13563		strain: JCM 13563	1230457	ASM33747v1	GCF_000337475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	113767	3522035	2013-02-04	3636	PRJNA174925	SAMN02471681
Haloterrigena salina JCM 13891		strain: JCM 13891	1227488	ASM33749v1	GCF_000337495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	151334	4841607	2013-02-04	4658	PRJNA174926	SAMN02471629
Halovivax asiaticus JCM 14624		strain: JCM 14624	1227490	ASM33751v1	GCF_000337515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	327817	3238452	2013-02-04	3225	PRJNA174928	SAMN02471651
Natrialba aegyptia DSM 13077		strain: DSM 13077	1227491	ASM33753v1	GCF_000337535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	145225	4618362	2013-02-04	4542	PRJNA174929	SAMN02471628
Natrialba asiatica DSM 12278		strain: DSM 12278	29540	ASM33755v1	GCF_000337555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	174934	4404175	2013-02-04	4285	PRJNA174930	SAMN02471653
Natrialba hulunbeirensis JCM 10989		strain: JCM 10989	1227493	ASM33757v1	GCF_000337575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	159578	4159606	2013-02-04	3966	PRJNA174932	SAMN02471673
Natrialba taiwanensis DSM 12281		strain: DSM 12281	1230458	ASM33759v1	GCF_000337595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	199614	4635192	2013-02-04	4511	PRJNA174933	SAMN02471680
Natrinema pallidum DSM 3751		strain: DSM 3751	1227495	ASM33761v1	GCF_000337615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	88603	3915814	2013-02-04	3981	PRJNA174936	SAMN02471671
Natrinema pellirubrum DSM 15624		strain: DSM 15624	797303	ASM33763v1	GCF_000337635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	83437	4264455	2013-02-04	4328	PRJNA174937	SAMN02471626
Natronobacterium gregoryi SP2		strain: SP2	797304	ASM33765v1	GCF_000337655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	48343	3694030	2013-02-04	3720	PRJNA174939	SAMN02471625
Natronococcus amylolyticus DSM 10524		strain: DSM 10524	1227497	ASM33767v1	GCF_000337675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	232276	4416525	2013-02-04	4464	PRJNA174940	SAMN02471669
Natronococcus jeotgali DSM 18795		strain: DSM 18795	1227498	ASM33769v1	GCF_000337695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	76066	4496185	2013-02-04	4589	PRJNA174941	SAMN02471624
Natronorubrum bangense JCM 10635		strain: JCM 10635	1227500	ASM33771v1	GCF_000337715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	138654	4111275	2013-02-04	4089	PRJNA174943	SAMN02471622
Natronorubrum sulfidifaciens JCM 14089		strain: JCM 14089	1230460	ASM33773v1	GCF_000337735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	186182	3460288	2013-02-04	3491	PRJNA174944	SAMN02471621
Haloarcula californiae ATCC 33799		strain: ATCC 33799	662475	ASM33775v1	GCF_000337755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	201463	4404932	2013-02-04	4526	PRJNA174882	SAMN02471658
Haloarcula vallismortis ATCC 29715		strain: ATCC 29715	662477	ASM33777v1	GCF_000337775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	164661	3923205	2013-02-04	4088	PRJNA174884	SAMN02471656
Haloferax denitrificans ATCC 35960		strain: ATCC 35960	662478	ASM33779v1	GCF_000337795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	367032	3825973	2013-02-04	3869	PRJNA174885	SAMN02471644
Haloferax mucosum ATCC BAA-1512		strain: ATCC BAA-1512	662479	ASM33781v1	GCF_000337815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	364210	3368982	2013-02-04	3470	PRJNA174887	SAMN02471642
Haloferax sulfurifontis ATCC BAA-897		strain: ATCC BAA-897	662480	ASM33783v1	GCF_000337835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	237974	3812428	2013-02-04	3918	PRJNA174888	SAMN02471686
Halogeometricum borinquense DSM 11551		strain: DSM 11551	469382	ASM33785v1	GCF_000337855.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	166703	3928510	2013-02-04	3951	PRJNA174948	SAMN02471667
Natrialba magadii ATCC 43099		strain: MS-3	547559	ASM33787v1	GCF_000337875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	127312	4416299	2013-02-04	4272	PRJNA174949	SAMN02471679
Halobiforma nitratireducens JCM 10879		strain: JCM 10879	1227454	ASM33789v1	GCF_000337895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	47406	3688747	2013-02-04	3663	PRJNA174895	SAMN02471660
Halorubrum saccharovorum DSM 1137		strain: DSM 1137	1227484	ASM33791v1	GCF_000337915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	183455	3423703	2013-02-04	3401	PRJNA174920	SAMN02471663
Haladaptatus paucihalophilus DX253		strain: DX253	797209	ASM37644v1	GCF_000376445.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2950504	4317540	2013-04-20	4418	PRJNA170085	SAMN02441396
Halomicrobium katesii DSM 19301		strain: DSM 19301	1069082	ASM37908v1	GCF_000379085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	420577	3607771	2013-04-23	3715	PRJNA88127	SAMN02261322
Natronorubrum tibetense GA33		strain: GA33	1114856	ASM38397v1	GCF_000383975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	899880	4934841	2013-04-26	4740	PRJNA85145	SAMN02261315
Halarchaeum acidiphilum MH1-52-1		strain: MH1-52-1	1261545	ASM40097v1	GCF_000400975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	7386	2431759	2013-05-16	2888	PRJDB708	SAMD00036650
Salinarchaeum sp. Harcht-Bsk1		strain: Harcht-Bsk1	1333523	ASM40364v1	GCF_000403645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3255260	3255260	2013-05-30	3122	PRJNA202311	SAMN02602994
halophilic archaeon J07HX5			1325472	HX64_HX5_0315125.1	GCF_000415945.1	RefSeq		Scaffold	4466	2040945	2013-09-04		PRJNA176231	SAMN01940911
Haloquadratum walsbyi J07HQW1			1238424	J07B_scf56329a_trim	GCF_000415965.1	RefSeq		Scaffold	73624	3475501	2013-09-04		PRJNA176224	SAMN01940911
Haloquadratum walsbyi J07HQW2			1238425	HQW2_08err_032412a	GCF_000415985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	104647	3594539	2013-09-04	3569	PRJNA176225	SAMN01940911
Haloquadratum sp. J07HQX50			1238426	HQX_031812	GCF_000416005.1	RefSeq		Scaffold	5970	3019909	2013-09-04		PRJNA176227	SAMN01940911
Halonotius sp. J07HN6			1238427	HN6_031912	GCF_000416025.1	RefSeq		Scaffold	12416	2529000	2013-09-04		PRJNA176228	SAMN01940911
Halorubrum sp. J07HR59			1238428	HR_032012	GCF_000416045.1	RefSeq		Scaffold	4632	2120805	2013-09-04		PRJNA176230	SAMN01940911
Halonotius sp. J07HN4			1070774	HN4_v3_031612	GCF_000416065.1	RefSeq		Scaffold	16593	2888659	2013-09-04		PRJNA70847	SAMN01940911
halophilic archaeon J07HX64			1085028	J07ABselected	GCF_000416085.1	RefSeq		Scaffold	7318	2982938	2013-09-04		PRJNA70851	SAMN01940911
halophilic archaeon J07HB67			1085029	J07AB_HB67select	GCF_000416105.1	RefSeq		Scaffold	3251	2649547	2013-09-04		PRJNA70861	SAMN01940911
Halorubrum ezzemoulense DSM 17463		strain: DSM 17463	1121945	ASM42180v1	GCF_000421805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	172357	3591480	2013-07-09	3650	PRJNA188910	SAMN02441569
Haloplanus natans DSM 17983		strain: DSM 17983	926690	ASM42768v1	GCF_000427685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2169903	3797935	2013-07-15	3986	PRJNA157819	SAMN02440896
haloarchaeon 3A1-DGR		strain: 3A1-DGR	1071085	ASM44786v2	GCF_000447865.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	425867	2880902	2014-02-11	2881	PRJNA183189	SAMN02469738
Halopiger goleimassiliensis		strain: IIH3	1293048	Halgo	GCF_000455345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	588788	3906364	2013-08-20	3882	PRJEB1780	SAMEA2272090
Halopiger djelfimassiliensis		strain: IIH2	1293047	HdjelfamassiliensisIIH2	GCF_000455365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	107097	3776554	2013-08-20	3790	PRJEB1777	SAMEA2272053
Halorhabdus tiamatea SARL4B		strain: type strain: SARL4B	1033806	HATI1	GCF_000470655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2815791	3146160	2013-08-01	3184	PRJEB1233	SAMEA2271992
Halarchaeum acidiphilum MH1-52-1		strain: JCM 16109	1261545	ASM47423v1	GCF_000474235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	29538	2628974	2013-09-13	2857	PRJDB708	SAMD00036764
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM48553v1	GCF_000485535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	266214	3637498	2013-10-25	3852	PRJNA64955	SAMN02440736
Natrinema sp. J7-1		strain: J7-1	1172566	Nat_J71	GCF_000493245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	196646	3667624	2013-06-17	3751	PRJNA157873	SAMN02472127
Candidatus Halobonum tyrrellensis G22		strain: G22	1324957	Htyrrel1.0	GCF_000495475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	119068	3675087	2013-11-05	3617	PRJNA198495	SAMN02471691
Haloarcula hispanica N601		strain: N601	1417673	ASM50456v2	GCF_000504565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3006708	3901495	2014-01-09	3941	PRJNA227070	SAMN02393367
Halorubrum sp. AJ67		strain: AJ67	1173487	HRSP_AJ67	GCF_000513435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	5669	4225006	2013-12-24	3255	PRJEB4754	SAMEA3138845
Halostagnicola larsenii XH-48		strain: XH-48	797299	ASM51762v1	GCF_000517625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2789326	4131176	2014-01-13	4095	PRJNA71415	SAMN00117518
Natronomonas moolapensis 8.8.11		strain: 8.8.11	268739	ASM59105v1	GCF_000591055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2912573	2912573	2013-02-21	2941	PRJEA50649	SAMEA3138954
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM68563v1	GCF_000685635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	337682	3906699	2014-05-08	3951	PRJNA238908	SAMN02724739
Natrinema mahii		strain: H13	1416969	ASM69059v2	GCF_000690595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline	Scaffold	233260	3794337	2016-05-26	3764	PRJNA227069	SAMN02390968
Halostagnicola sp. A56		strain: A56	1495067	ASM69150v2	GCF_000691505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	262614	3178490	2015-07-07	3348	PRJNA245787	SAMN02739884
Halorubrum saccharovorum		strain: H3	2248	ASM70002v2	GCF_000700025.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30836	3282373	2015-04-21	3548	PRJNA248778	SAMN02803665
Natrinema thermotolerans A29		strain: A29	1455609	HTGA29.1	GCF_000710605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	516176	4131621	2014-06-20	4287	PRJNA236631	SAMN02629025
Haladaptatus cibarius D43		strain: D43	1455608	HAPD43.1	GCF_000710615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	985075	3926724	2014-06-20	4123	PRJNA236630	SAMN02629026
Haloferax prahovense		strain: Arc-Hr	381852	PRJEB5511_assembly_1	GCF_000723845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	944085	3893626	2014-06-12	3915	PRJEB5511	SAMEA3139050
Haloferax sp. ATB1		strain: ATB1	1508454	ASM73017v1	GCF_000730175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	36538	4223705	2014-07-17	4211	PRJNA252523	SAMN02850979
Natrinema altunense		strain: AJ2	222984	ASM73198v1	GCF_000731985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	425349	3774135	2014-07-21	3820	PRJNA248700	SAMN02800870
Halolamina rubra		strain: CBA1107	1380430	ASM73955v1	GCF_000739555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	78140	2955001	2014-07-31	3150	PRJDB2988	SAMD00018743
Halobellus rufus		strain: CBA1103	1448860	ASM73957v1	GCF_000739575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	112619	3852219	2014-07-31	3934	PRJDB2989	SAMD00018744
Halorubrum halophilum		strain: B8	413816	ASM73959v1	GCF_000739595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	98410	3677984	2014-07-31	3703	PRJDB2990	SAMD00018745
Halorubrum sp. BV1		strain: BV1	1498500	ASM74620v1	GCF_000746205.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	828997	2767463	2014-08-28	2820	PRJNA246208	SAMN02787129
Halapricum salinum		strain: CBA1105	1457250	ASM75522v1	GCF_000755225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2009901	3451492	2014-09-11	3470	PRJDB3110	SAMD00019894
